transportmåte,ruteform,statistikkvariabel,år,value
Båt,I alt,Skoleskyss (1 000 passasjerer),2021,323.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2022,448.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2023,361.0
Båt,I alt,Ordinære (1 000 passasjerer),2015,10653.0
Båt,I alt,Ordinære (1 000 passasjerer),2016,11082.0
Båt,I alt,Ordinære (1 000 passasjerer),2017,11179.0
Båt,I alt,Ordinære (1 000 passasjerer),2018,11176.0
Båt,I alt,Ordinære (1 000 passasjerer),2019,11280.0
Båt,I alt,Ordinære (1 000 passasjerer),2020,7233.0
Båt,I alt,Ordinære (1 000 passasjerer),2021,7404.0
Båt,I alt,Ordinære (1 000 passasjerer),2022,9792.0
Båt,I alt,Ordinære (1 000 passasjerer),2023,10290.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2015,23662.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2016,27651.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2017,32749.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2018,33528.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2019,30629.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2020,16612.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2021,18729.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2022,25635.0
Båt,Kommersielle ruter,Billettinntekter (1 000 kr),2023,27497.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2015,1529.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2016,1876.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2017,2103.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2018,2150.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2019,2182.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2020,1527.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2021,1621.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2022,2039.0
Båt,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2023,2157.0
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2015,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2016,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2017,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2018,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2019,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2020,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,1529.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,1876.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,2103.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,2150.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,2182.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,1527.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,1621.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,2039.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,2157.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,500008.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,544517.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,561378.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,573043.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,578390.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,364706.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2021,386004.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2022,536159.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2023,575691.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2015,9392.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2016,9547.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2017,9435.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2018,9362.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2019,9400.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2020,5944.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2021,6106.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2022,8201.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2023,8495.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2015,268.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2016,341.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,359.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,335.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,302.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,238.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,323.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,448.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,361.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,9124.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,9206.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,9076.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,9027.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,9098.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,5706.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,5783.0
